Datetime,Open,High,Low,Close
2021-09-24 09:30:00-04:00,21.22,22.85,21.22,22.59
2021-09-24 09:35:00-04:00,22.55,22.55,22.15,22.22
2021-09-24 09:40:00-04:00,22.26,22.31,22.17,22.18
2021-09-24 09:45:00-04:00,22.17,22.51,22.17,22.51
2021-09-24 09:50:00-04:00,22.48,22.5,22.38,22.41
2021-09-24 09:55:00-04:00,22.38,22.46,21.98,21.98
2021-09-24 10:00:00-04:00,21.91,21.91,21.63,21.63
2021-09-24 10:05:00-04:00,21.64,21.82,21.64,21.74
2021-09-24 10:10:00-04:00,21.75,21.96,21.73,21.9
2021-09-24 10:15:00-04:00,21.9,21.98,21.79,21.88
2021-09-24 10:20:00-04:00,21.83,21.83,21.48,21.48
2021-09-24 10:25:00-04:00,21.5,21.52,21.44,21.5
2021-09-24 10:30:00-04:00,21.51,21.74,21.51,21.72
2021-09-24 10:35:00-04:00,21.69,21.74,21.61,21.62
2021-09-24 10:40:00-04:00,21.65,21.67,21.43,21.52
2021-09-24 10:45:00-04:00,21.5,21.68,21.49,21.56
2021-09-24 10:50:00-04:00,21.53,21.74,21.53,21.69
2021-09-24 10:55:00-04:00,21.72,21.73,21.68,21.73
2021-09-24 11:00:00-04:00,21.78,21.81,21.52,21.52
2021-09-24 11:05:00-04:00,21.51,21.51,21.42,21.42
2021-09-24 11:10:00-04:00,21.42,21.42,21.35,21.39
2021-09-24 11:15:00-04:00,21.39,21.47,21.37,21.39
2021-09-24 11:20:00-04:00,21.4,21.44,21.4,21.43
2021-09-24 11:25:00-04:00,21.47,21.8,21.47,21.8
2021-09-24 11:30:00-04:00,21.75,21.82,21.75,21.79
2021-09-24 11:35:00-04:00,21.78,21.91,21.74,21.74
2021-09-24 11:40:00-04:00,21.74,21.74,21.64,21.69
2021-09-24 11:45:00-04:00,21.7,21.7,21.58,21.58
2021-09-24 11:50:00-04:00,21.57,21.57,21.2,21.2
2021-09-24 11:55:00-04:00,21.19,21.22,21.14,21.15
2021-09-24 12:00:00-04:00,21.16,21.23,21.16,21.22
2021-09-24 12:05:00-04:00,21.23,21.23,21.15,21.21
2021-09-24 12:10:00-04:00,21.21,21.21,21.05,21.07
2021-09-24 12:15:00-04:00,21.07,21.13,21.06,21.06
2021-09-24 12:20:00-04:00,21.06,21.06,20.98,21.05
2021-09-24 12:30:00-04:00,21.01,21.02,20.98,21.0
2021-09-24 12:35:00-04:00,21.04,21.13,21.04,21.08
2021-09-24 12:40:00-04:00,21.07,21.07,20.96,20.97
2021-09-24 12:45:00-04:00,20.98,21.02,20.92,20.94
2021-09-24 12:50:00-04:00,20.96,21.01,20.89,20.99
2021-09-24 12:55:00-04:00,20.99,20.99,20.93,20.93
2021-09-24 13:00:00-04:00,20.95,20.96,20.87,20.88
2021-09-24 13:05:00-04:00,20.92,20.94,20.87,20.91
2021-09-24 13:10:00-04:00,20.91,20.98,20.89,20.94
2021-09-24 13:15:00-04:00,20.87,20.91,20.86,20.89
2021-09-24 13:20:00-04:00,20.97,20.97,20.87,20.88
2021-09-24 13:25:00-04:00,20.88,20.89,20.8,20.8
2021-09-24 13:30:00-04:00,20.81,20.93,20.79,20.92
2021-09-24 13:35:00-04:00,20.95,21.01,20.94,20.95
2021-09-24 13:40:00-04:00,20.95,21.01,20.94,20.98
2021-09-24 13:45:00-04:00,20.98,20.99,20.93,20.96
2021-09-24 13:50:00-04:00,20.95,21.02,20.95,21.01
2021-09-24 13:55:00-04:00,21.02,21.12,21.02,21.06
2021-09-24 14:00:00-04:00,21.07,21.09,21.02,21.02
2021-09-24 14:05:00-04:00,21.01,21.07,20.93,21.05
2021-09-24 14:10:00-04:00,21.05,21.05,20.98,20.99
2021-09-24 14:15:00-04:00,20.99,21.04,20.83,20.84
2021-09-24 14:20:00-04:00,20.84,20.95,20.82,20.94
2021-09-24 14:25:00-04:00,20.85,20.93,20.82,20.93
2021-09-24 14:30:00-04:00,20.84,20.95,20.83,20.84
2021-09-24 14:35:00-04:00,20.84,20.84,20.8,20.8
2021-09-24 14:40:00-04:00,20.81,20.91,20.81,20.83
2021-09-24 14:45:00-04:00,20.83,20.84,20.78,20.83
2021-09-24 14:50:00-04:00,20.83,20.83,20.73,20.76
2021-09-24 14:55:00-04:00,20.75,20.75,20.54,20.54
2021-09-24 15:00:00-04:00,20.54,20.72,20.53,20.72
2021-09-24 15:05:00-04:00,20.72,20.89,20.72,20.88
2021-09-24 15:10:00-04:00,20.79,20.91,20.79,20.9
2021-09-24 15:15:00-04:00,20.83,20.83,20.72,20.75
2021-09-24 15:20:00-04:00,20.75,20.84,20.61,20.71
2021-09-24 15:25:00-04:00,20.73,20.8,20.72,20.73
2021-09-24 15:30:00-04:00,20.73,20.77,20.64,20.77
2021-09-24 15:35:00-04:00,20.71,20.89,20.71,20.78
2021-09-24 15:40:00-04:00,20.79,20.86,20.71,20.71
2021-09-24 15:45:00-04:00,20.7,20.71,20.57,20.6
2021-09-24 15:50:00-04:00,20.61,20.75,20.17,20.75
2021-09-24 15:55:00-04:00,20.76,20.94,20.76,20.93
