Datetime,Open,High,Low,Close
2021-09-15 09:30:00-04:00,346.41,346.52,345.86,346.08
2021-09-15 09:35:00-04:00,346.11,346.24,345.85,346.01
2021-09-15 09:40:00-04:00,346.0,346.59,345.78,346.59
2021-09-15 09:45:00-04:00,346.59,347.7,346.59,347.7
2021-09-15 09:50:00-04:00,347.72,347.75,347.23,347.49
2021-09-15 09:55:00-04:00,347.55,347.79,347.41,347.51
2021-09-15 10:00:00-04:00,347.56,347.81,347.34,347.78
2021-09-15 10:05:00-04:00,347.76,347.76,347.28,347.29
2021-09-15 10:10:00-04:00,347.36,347.39,346.81,347.03
2021-09-15 10:15:00-04:00,347.04,347.33,346.57,347.29
2021-09-15 10:20:00-04:00,347.29,347.36,346.81,346.92
2021-09-15 10:25:00-04:00,346.97,347.22,346.86,346.87
2021-09-15 10:30:00-04:00,346.93,347.31,346.92,347.05
2021-09-15 10:35:00-04:00,346.97,347.23,346.97,347.03
2021-09-15 10:40:00-04:00,346.95,347.01,346.4,346.55
2021-09-15 10:45:00-04:00,346.6,346.91,346.57,346.91
2021-09-15 10:50:00-04:00,346.93,347.04,346.7,346.7
2021-09-15 10:55:00-04:00,346.76,347.16,346.65,347.11
2021-09-15 11:00:00-04:00,347.19,347.23,346.97,347.15
2021-09-15 11:05:00-04:00,347.15,347.31,347.12,347.22
2021-09-15 11:10:00-04:00,347.19,347.25,347.09,347.09
2021-09-15 11:15:00-04:00,347.09,347.32,347.09,347.26
2021-09-15 11:20:00-04:00,347.43,347.49,347.32,347.48
2021-09-15 11:25:00-04:00,347.42,347.66,347.42,347.53
2021-09-15 11:30:00-04:00,347.54,347.54,347.18,347.28
2021-09-15 11:35:00-04:00,347.26,347.4,347.16,347.39
2021-09-15 11:40:00-04:00,347.29,347.44,347.28,347.42
2021-09-15 11:45:00-04:00,347.37,347.37,347.12,347.18
2021-09-15 11:50:00-04:00,347.16,347.24,347.14,347.23
2021-09-15 11:55:00-04:00,347.24,347.55,347.24,347.55
2021-09-15 12:00:00-04:00,347.55,347.56,347.3,347.39
2021-09-15 12:05:00-04:00,347.39,347.45,347.29,347.35
2021-09-15 12:10:00-04:00,347.36,347.46,347.34,347.35
2021-09-15 12:15:00-04:00,347.4,347.58,347.39,347.58
2021-09-15 12:20:00-04:00,347.54,347.7,347.52,347.7
2021-09-15 12:25:00-04:00,347.69,347.99,347.69,347.84
2021-09-15 12:30:00-04:00,347.87,347.94,347.85,347.91
2021-09-15 12:35:00-04:00,347.94,348.03,347.92,348.01
2021-09-15 12:40:00-04:00,348.03,348.56,348.03,348.49
2021-09-15 12:45:00-04:00,348.5,348.5,348.2,348.3
2021-09-15 12:50:00-04:00,348.3,348.34,348.17,348.31
2021-09-15 12:55:00-04:00,348.32,348.45,348.32,348.36
2021-09-15 13:00:00-04:00,348.37,348.61,348.37,348.61
2021-09-15 13:05:00-04:00,348.61,348.72,348.4,348.41
2021-09-15 13:10:00-04:00,348.44,348.67,348.44,348.66
2021-09-15 13:15:00-04:00,348.7,348.73,348.59,348.64
2021-09-15 13:20:00-04:00,348.66,348.79,348.64,348.79
2021-09-15 13:25:00-04:00,348.78,348.93,348.74,348.87
2021-09-15 13:30:00-04:00,348.91,349.2,348.91,349.17
2021-09-15 13:35:00-04:00,349.18,349.19,349.05,349.08
2021-09-15 13:40:00-04:00,349.11,349.28,349.11,349.27
2021-09-15 13:45:00-04:00,349.29,349.46,349.23,349.26
2021-09-15 13:50:00-04:00,349.25,349.31,349.13,349.13
2021-09-15 13:55:00-04:00,349.13,349.13,348.86,348.86
2021-09-15 14:00:00-04:00,348.87,348.99,348.7,348.73
2021-09-15 14:05:00-04:00,348.75,348.88,348.73,348.88
2021-09-15 14:10:00-04:00,348.88,348.97,348.71,348.71
2021-09-15 14:15:00-04:00,348.72,348.85,348.55,348.55
2021-09-15 14:20:00-04:00,348.59,348.66,348.44,348.49
2021-09-15 14:25:00-04:00,348.56,348.81,348.56,348.71
2021-09-15 14:30:00-04:00,348.74,348.82,348.67,348.8
2021-09-15 14:35:00-04:00,348.82,348.98,348.81,348.86
2021-09-15 14:40:00-04:00,348.9,348.99,348.65,348.68
2021-09-15 14:45:00-04:00,348.69,348.88,348.68,348.81
2021-09-15 14:50:00-04:00,348.83,348.87,348.52,348.6
2021-09-15 14:55:00-04:00,348.61,348.7,348.48,348.51
2021-09-15 15:00:00-04:00,348.52,348.69,348.43,348.64
2021-09-15 15:05:00-04:00,348.66,348.73,348.58,348.7
2021-09-15 15:10:00-04:00,348.72,348.94,348.69,348.94
2021-09-15 15:15:00-04:00,348.96,349.11,348.93,349.08
2021-09-15 15:20:00-04:00,349.12,349.15,348.82,348.94
2021-09-15 15:25:00-04:00,348.96,348.99,348.86,348.93
2021-09-15 15:30:00-04:00,348.93,349.15,348.83,349.08
2021-09-15 15:35:00-04:00,349.07,349.31,349.05,349.25
2021-09-15 15:40:00-04:00,349.22,349.25,349.11,349.23
2021-09-15 15:45:00-04:00,349.23,349.26,349.02,349.04
2021-09-15 15:50:00-04:00,349.02,349.18,348.87,348.92
2021-09-15 15:55:00-04:00,348.86,348.9,348.67,348.87
