Datetime,Open,High,Low,Close
2021-08-26 09:30:00-04:00,146.65,147.01,146.28,146.54
2021-08-26 09:35:00-04:00,146.57,146.84,145.8,145.8
2021-08-26 09:40:00-04:00,145.67,147.21,145.41,147.1
2021-08-26 09:45:00-04:00,147.0,147.72,146.95,147.39
2021-08-26 09:50:00-04:00,147.23,147.44,147.1,147.34
2021-08-26 09:55:00-04:00,147.4,147.55,147.21,147.49
2021-08-26 10:00:00-04:00,147.37,147.6,147.02,147.17
2021-08-26 10:05:00-04:00,147.21,147.57,147.06,147.53
2021-08-26 10:10:00-04:00,147.41,147.6,147.2,147.31
2021-08-26 10:15:00-04:00,147.38,147.68,146.95,147.18
2021-08-26 10:20:00-04:00,147.09,147.15,146.93,147.01
2021-08-26 10:25:00-04:00,147.04,147.07,145.96,146.35
2021-08-26 10:30:00-04:00,146.34,147.05,146.34,146.95
2021-08-26 10:35:00-04:00,146.94,147.0,146.36,146.36
2021-08-26 10:40:00-04:00,146.39,146.39,145.89,146.04
2021-08-26 10:45:00-04:00,146.07,146.13,145.58,145.74
2021-08-26 10:50:00-04:00,145.78,146.03,145.47,145.48
2021-08-26 10:55:00-04:00,145.42,145.73,145.35,145.45
2021-08-26 11:00:00-04:00,145.44,145.5,145.08,145.12
2021-08-26 11:05:00-04:00,145.09,145.09,144.68,145.04
2021-08-26 11:10:00-04:00,145.01,145.49,145.0,145.33
2021-08-26 11:15:00-04:00,145.4,145.52,145.2,145.44
2021-08-26 11:20:00-04:00,145.45,145.93,145.45,145.6
2021-08-26 11:25:00-04:00,145.57,145.62,145.37,145.44
2021-08-26 11:30:00-04:00,145.44,145.62,145.31,145.31
2021-08-26 11:35:00-04:00,145.4,145.57,145.32,145.55
2021-08-26 11:40:00-04:00,145.63,145.72,145.18,145.18
2021-08-26 11:45:00-04:00,145.24,145.29,145.04,145.13
2021-08-26 11:50:00-04:00,145.07,145.19,144.92,144.99
2021-08-26 11:55:00-04:00,145.06,145.23,145.06,145.13
2021-08-26 12:00:00-04:00,145.09,145.27,145.07,145.21
2021-08-26 12:05:00-04:00,145.21,145.21,145.04,145.1
2021-08-26 12:10:00-04:00,145.07,145.14,145.02,145.05
2021-08-26 12:15:00-04:00,145.0,145.0,144.83,144.83
2021-08-26 12:20:00-04:00,144.79,145.32,144.67,145.28
2021-08-26 12:25:00-04:00,145.29,145.35,144.96,145.1
2021-08-26 12:30:00-04:00,145.06,145.25,144.93,145.14
2021-08-26 12:35:00-04:00,145.11,145.16,144.92,144.99
2021-08-26 12:40:00-04:00,145.04,145.16,145.01,145.08
2021-08-26 12:45:00-04:00,145.12,145.18,145.02,145.08
2021-08-26 12:50:00-04:00,145.06,145.3,144.96,145.08
2021-08-26 12:55:00-04:00,145.13,145.15,144.99,145.09
2021-08-26 13:00:00-04:00,145.02,145.05,144.96,145.05
2021-08-26 13:05:00-04:00,145.04,145.05,144.93,144.97
2021-08-26 13:10:00-04:00,144.94,144.99,144.6,144.99
2021-08-26 13:15:00-04:00,145.0,145.0,144.82,144.82
2021-08-26 13:20:00-04:00,144.87,144.91,144.62,144.62
2021-08-26 13:25:00-04:00,144.62,144.73,144.45,144.71
2021-08-26 13:30:00-04:00,144.71,144.77,144.5,144.63
2021-08-26 13:35:00-04:00,144.61,144.66,144.41,144.48
2021-08-26 13:40:00-04:00,144.53,144.62,144.46,144.47
2021-08-26 13:45:00-04:00,144.51,144.64,144.51,144.55
2021-08-26 13:50:00-04:00,144.58,144.75,144.53,144.75
2021-08-26 13:55:00-04:00,144.72,144.83,144.71,144.72
2021-08-26 14:00:00-04:00,144.77,144.84,144.53,144.7
2021-08-26 14:05:00-04:00,144.73,144.76,144.54,144.6
2021-08-26 14:10:00-04:00,144.63,144.73,144.63,144.68
2021-08-26 14:15:00-04:00,144.64,144.73,144.53,144.55
2021-08-26 14:20:00-04:00,144.63,144.75,144.57,144.57
2021-08-26 14:25:00-04:00,144.6,144.71,144.51,144.51
2021-08-26 14:30:00-04:00,144.38,144.49,144.05,144.14
2021-08-26 14:35:00-04:00,144.15,144.56,144.07,144.56
2021-08-26 14:40:00-04:00,144.54,144.59,144.35,144.36
2021-08-26 14:45:00-04:00,144.29,144.33,143.84,143.89
2021-08-26 14:50:00-04:00,143.88,144.13,143.85,144.08
2021-08-26 14:55:00-04:00,144.09,144.11,143.79,143.93
2021-08-26 15:00:00-04:00,144.06,144.11,143.81,144.01
2021-08-26 15:05:00-04:00,143.97,144.03,143.79,143.92
2021-08-26 15:10:00-04:00,143.96,143.97,143.87,143.95
2021-08-26 15:15:00-04:00,143.96,144.2,143.81,144.15
2021-08-26 15:20:00-04:00,144.24,144.28,144.14,144.14
2021-08-26 15:25:00-04:00,144.12,144.22,144.01,144.14
2021-08-26 15:30:00-04:00,144.14,144.36,144.14,144.24
2021-08-26 15:35:00-04:00,144.26,144.31,143.88,143.97
2021-08-26 15:40:00-04:00,143.98,144.12,143.77,143.85
2021-08-26 15:45:00-04:00,143.83,144.06,143.66,143.99
2021-08-26 15:50:00-04:00,144.04,144.2,143.94,144.07
2021-08-26 15:55:00-04:00,144.06,144.14,143.81,143.85
