Datetime,Open,High,Low,Close
2021-09-22 09:30:00-04:00,436.05,436.17,435.72,435.83
2021-09-22 09:31:00-04:00,435.82,436.01,435.58,435.74
2021-09-22 09:32:00-04:00,435.74,435.86,435.61,435.66
2021-09-22 09:33:00-04:00,435.66,435.9,435.62,435.69
2021-09-22 09:34:00-04:00,435.69,435.93,435.55,435.58
2021-09-22 09:35:00-04:00,435.59,435.75,435.48,435.66
2021-09-22 09:36:00-04:00,435.64,435.81,435.51,435.52
2021-09-22 09:37:00-04:00,435.51,435.69,435.31,435.4
2021-09-22 09:38:00-04:00,435.4,435.61,435.39,435.43
2021-09-22 09:39:00-04:00,435.43,435.6,435.38,435.4
2021-09-22 09:40:00-04:00,435.39,435.41,435.19,435.39
2021-09-22 09:41:00-04:00,435.38,435.55,435.29,435.34
2021-09-22 09:42:00-04:00,435.35,435.49,435.31,435.44
2021-09-22 09:43:00-04:00,435.43,435.43,435.07,435.11
2021-09-22 09:44:00-04:00,435.11,435.45,435.1,435.36
2021-09-22 09:45:00-04:00,435.36,435.66,435.29,435.51
2021-09-22 09:46:00-04:00,435.52,435.72,435.52,435.66
2021-09-22 09:47:00-04:00,435.66,435.79,435.6,435.6
2021-09-22 09:48:00-04:00,435.6,435.69,435.45,435.61
2021-09-22 09:49:00-04:00,435.6,435.71,435.49,435.49
2021-09-22 09:50:00-04:00,435.49,435.7,435.42,435.68
2021-09-22 09:51:00-04:00,435.68,435.93,435.6,435.83
2021-09-22 09:52:00-04:00,435.83,435.85,435.66,435.78
2021-09-22 09:53:00-04:00,435.78,435.88,435.72,435.86
2021-09-22 09:54:00-04:00,435.84,435.99,435.81,435.88
2021-09-22 09:55:00-04:00,435.89,436.18,435.89,436.18
2021-09-22 09:56:00-04:00,436.18,436.48,436.18,436.38
2021-09-22 09:57:00-04:00,436.38,436.48,436.28,436.46
2021-09-22 09:58:00-04:00,436.46,436.56,436.45,436.51
2021-09-22 09:59:00-04:00,436.51,436.83,436.45,436.83
2021-09-22 10:00:00-04:00,436.82,436.9,436.72,436.74
2021-09-22 10:01:00-04:00,436.72,437.29,436.7,437.19
2021-09-22 10:02:00-04:00,437.18,437.44,437.15,437.26
2021-09-22 10:03:00-04:00,437.26,437.27,437.06,437.08
2021-09-22 10:04:00-04:00,437.08,437.29,437.06,437.25
2021-09-22 10:05:00-04:00,437.25,437.38,437.15,437.35
2021-09-22 10:06:00-04:00,437.36,437.59,437.32,437.53
2021-09-22 10:07:00-04:00,437.55,437.59,437.35,437.37
2021-09-22 10:08:00-04:00,437.36,437.45,437.16,437.21
2021-09-22 10:09:00-04:00,437.21,437.33,437.2,437.32
2021-09-22 10:10:00-04:00,437.33,437.37,437.25,437.27
2021-09-22 10:11:00-04:00,437.27,437.3,436.97,436.98
2021-09-22 10:12:00-04:00,436.98,437.01,436.73,436.74
2021-09-22 10:13:00-04:00,436.73,436.86,436.61,436.85
2021-09-22 10:14:00-04:00,436.85,437.11,436.85,437.01
2021-09-22 10:15:00-04:00,437.02,437.37,437.02,437.33
2021-09-22 10:16:00-04:00,437.33,437.36,437.24,437.35
2021-09-22 10:17:00-04:00,437.35,437.38,437.28,437.32
2021-09-22 10:18:00-04:00,437.35,437.38,437.27,437.29
2021-09-22 10:19:00-04:00,437.3,437.36,437.23,437.35
2021-09-22 10:20:00-04:00,437.35,437.39,437.35,437.37
2021-09-22 10:21:00-04:00,437.36,437.38,437.32,437.35
2021-09-22 10:22:00-04:00,437.34,437.36,437.17,437.26
2021-09-22 10:23:00-04:00,437.27,437.36,437.23,437.36
2021-09-22 10:24:00-04:00,437.36,437.38,437.3,437.38
2021-09-22 10:25:00-04:00,437.38,437.39,437.23,437.39
2021-09-22 10:26:00-04:00,437.39,437.71,437.37,437.68
2021-09-22 10:27:00-04:00,437.7,437.73,437.46,437.53
2021-09-22 10:28:00-04:00,437.54,437.56,437.45,437.52
2021-09-22 10:29:00-04:00,437.52,437.53,437.32,437.39
2021-09-22 10:30:00-04:00,437.39,437.65,437.39,437.54
2021-09-22 10:31:00-04:00,437.55,437.68,437.52,437.66
2021-09-22 10:32:00-04:00,437.66,437.84,437.66,437.72
2021-09-22 10:33:00-04:00,437.71,437.71,437.33,437.57
2021-09-22 10:34:00-04:00,437.58,437.71,437.58,437.68
2021-09-22 10:35:00-04:00,437.67,437.78,437.57,437.72
2021-09-22 10:36:00-04:00,437.72,437.76,437.53,437.64
2021-09-22 10:37:00-04:00,437.64,437.66,437.51,437.57
2021-09-22 10:38:00-04:00,437.58,437.73,437.56,437.7
2021-09-22 10:39:00-04:00,437.7,437.73,437.64,437.69
2021-09-22 10:40:00-04:00,437.7,437.81,437.64,437.65
2021-09-22 10:41:00-04:00,437.63,437.83,437.63,437.7
2021-09-22 10:42:00-04:00,437.7,437.78,437.42,437.51
2021-09-22 10:43:00-04:00,437.52,437.64,437.5,437.58
2021-09-22 10:44:00-04:00,437.61,437.65,437.52,437.57
2021-09-22 10:45:00-04:00,437.59,437.69,437.55,437.55
2021-09-22 10:46:00-04:00,437.54,437.62,437.37,437.4
2021-09-22 10:47:00-04:00,437.39,437.42,437.28,437.4
2021-09-22 10:48:00-04:00,437.4,437.41,437.29,437.37
2021-09-22 10:49:00-04:00,437.38,437.65,437.38,437.58
2021-09-22 10:50:00-04:00,437.58,437.77,437.58,437.74
2021-09-22 10:51:00-04:00,437.74,437.77,437.66,437.68
2021-09-22 10:53:00-04:00,437.4,437.53,437.39,437.48
2021-09-22 10:54:00-04:00,437.48,437.51,437.43,437.51
2021-09-22 10:55:00-04:00,437.52,437.7,437.51,437.67
2021-09-22 10:56:00-04:00,437.68,437.75,437.68,437.75
2021-09-22 10:57:00-04:00,437.76,437.79,437.69,437.76
2021-09-22 10:58:00-04:00,437.97,437.98,437.76,437.97
2021-09-22 10:59:00-04:00,437.98,438.05,437.91,437.95
2021-09-22 11:00:00-04:00,437.95,438.23,437.95,438.2
2021-09-22 11:01:00-04:00,438.19,438.28,438.19,438.2
2021-09-22 11:02:00-04:00,438.2,438.26,438.05,438.13
2021-09-22 11:03:00-04:00,438.12,438.13,438.05,438.12
2021-09-22 11:04:00-04:00,438.12,438.13,438.02,438.04
2021-09-22 11:05:00-04:00,438.04,438.15,438.03,438.15
2021-09-22 11:06:00-04:00,438.15,438.17,438.1,438.16
2021-09-22 11:07:00-04:00,438.17,438.21,438.14,438.15
2021-09-22 11:08:00-04:00,438.16,438.17,438.05,438.05
2021-09-22 11:09:00-04:00,438.05,438.13,438.04,438.04
2021-09-22 11:10:00-04:00,438.04,438.05,437.93,437.97
2021-09-22 11:11:00-04:00,438.0,438.06,437.97,438.03
2021-09-22 11:12:00-04:00,438.03,438.16,438.01,438.11
2021-09-22 11:13:00-04:00,438.12,438.19,438.1,438.12
2021-09-22 11:14:00-04:00,438.11,438.14,438.01,438.07
2021-09-22 11:15:00-04:00,438.08,438.22,438.08,438.13
2021-09-22 11:16:00-04:00,438.13,438.15,438.03,438.14
2021-09-22 11:17:00-04:00,438.16,438.21,438.15,438.19
2021-09-22 11:18:00-04:00,438.19,438.27,438.19,438.21
2021-09-22 11:19:00-04:00,438.22,438.31,438.21,438.24
2021-09-22 11:20:00-04:00,438.24,438.3,438.14,438.28
2021-09-22 11:21:00-04:00,438.29,438.29,438.14,438.16
2021-09-22 11:22:00-04:00,438.17,438.24,438.17,438.18
2021-09-22 11:23:00-04:00,438.18,438.18,438.07,438.1
2021-09-22 11:24:00-04:00,438.1,438.18,438.07,438.14
2021-09-22 11:25:00-04:00,438.16,438.21,438.02,438.05
