Datetime,Open,High,Low,Close
2021-08-20 09:30:00-04:00,21.36,21.55,20.9,20.9
2021-08-20 09:35:00-04:00,20.87,20.87,20.57,20.6
2021-08-20 09:40:00-04:00,20.64,20.81,20.61,20.63
2021-08-20 09:45:00-04:00,20.57,20.57,19.98,20.09
2021-08-20 09:50:00-04:00,20.12,20.17,20.06,20.07
2021-08-20 09:55:00-04:00,20.12,20.12,19.86,19.89
2021-08-20 10:00:00-04:00,19.82,19.91,19.45,19.48
2021-08-20 10:05:00-04:00,19.48,19.57,19.46,19.55
2021-08-20 10:10:00-04:00,19.53,19.81,19.48,19.81
2021-08-20 10:15:00-04:00,19.81,19.88,19.38,19.38
2021-08-20 10:20:00-04:00,19.38,19.38,19.23,19.29
2021-08-20 10:25:00-04:00,19.27,19.47,19.27,19.35
2021-08-20 10:30:00-04:00,19.36,19.41,19.28,19.33
2021-08-20 10:35:00-04:00,19.32,19.41,19.19,19.41
2021-08-20 10:40:00-04:00,19.4,19.58,19.37,19.58
2021-08-20 10:45:00-04:00,19.56,19.61,19.51,19.52
2021-08-20 10:50:00-04:00,19.54,19.73,19.53,19.56
2021-08-20 10:55:00-04:00,19.55,19.79,19.5,19.79
2021-08-20 11:00:00-04:00,19.72,19.88,19.72,19.88
2021-08-20 11:05:00-04:00,19.89,19.92,19.75,19.75
2021-08-20 11:10:00-04:00,19.77,19.79,19.64,19.66
2021-08-20 11:15:00-04:00,19.66,19.74,19.63,19.74
2021-08-20 11:20:00-04:00,19.71,19.73,19.64,19.67
2021-08-20 11:25:00-04:00,19.7,19.89,19.65,19.85
2021-08-20 11:30:00-04:00,19.86,19.86,19.59,19.59
2021-08-20 11:35:00-04:00,19.56,19.74,19.5,19.73
2021-08-20 11:40:00-04:00,19.67,19.71,19.57,19.64
2021-08-20 11:45:00-04:00,19.62,19.73,19.62,19.66
2021-08-20 11:50:00-04:00,19.65,19.74,19.58,19.65
2021-08-20 11:55:00-04:00,19.68,19.78,19.57,19.57
2021-08-20 12:00:00-04:00,19.55,19.58,19.23,19.23
2021-08-20 12:05:00-04:00,19.19,19.29,19.16,19.29
2021-08-20 12:10:00-04:00,19.31,19.42,19.31,19.36
2021-08-20 12:15:00-04:00,19.34,19.36,19.22,19.26
2021-08-20 12:20:00-04:00,19.24,19.24,19.06,19.06
2021-08-20 12:25:00-04:00,19.01,19.01,18.7,18.7
2021-08-20 12:30:00-04:00,18.67,18.67,18.62,18.64
2021-08-20 12:35:00-04:00,18.66,18.66,18.55,18.57
2021-08-20 12:40:00-04:00,18.57,18.6,18.48,18.48
2021-08-20 12:45:00-04:00,18.51,18.52,18.42,18.42
2021-08-20 12:50:00-04:00,18.45,18.49,18.42,18.46
2021-08-20 12:55:00-04:00,18.45,18.5,18.42,18.5
2021-08-20 13:00:00-04:00,18.5,18.5,18.42,18.44
2021-08-20 13:05:00-04:00,18.42,18.46,18.39,18.46
2021-08-20 13:10:00-04:00,18.46,18.5,18.43,18.44
2021-08-20 13:15:00-04:00,18.44,18.51,18.44,18.46
2021-08-20 13:20:00-04:00,18.46,18.53,18.45,18.52
2021-08-20 13:25:00-04:00,18.53,18.63,18.53,18.63
2021-08-20 13:30:00-04:00,18.63,18.64,18.57,18.64
2021-08-20 13:35:00-04:00,18.64,18.77,18.64,18.76
2021-08-20 13:40:00-04:00,18.79,18.83,18.73,18.78
2021-08-20 13:45:00-04:00,18.78,18.87,18.76,18.87
2021-08-20 13:50:00-04:00,18.88,18.98,18.83,18.97
2021-08-20 13:55:00-04:00,18.94,19.08,18.93,19.06
2021-08-20 14:00:00-04:00,19.06,19.06,18.85,18.88
2021-08-20 14:05:00-04:00,18.85,18.85,18.75,18.77
2021-08-20 14:10:00-04:00,18.77,18.8,18.73,18.8
2021-08-20 14:15:00-04:00,18.79,18.87,18.77,18.8
2021-08-20 14:20:00-04:00,18.82,19.14,18.82,19.14
2021-08-20 14:25:00-04:00,19.1,19.1,19.01,19.07
2021-08-20 14:30:00-04:00,19.07,19.13,19.03,19.11
2021-08-20 14:35:00-04:00,19.13,19.13,19.0,19.04
2021-08-20 14:40:00-04:00,19.03,19.06,18.97,19.06
2021-08-20 14:45:00-04:00,19.07,19.23,19.07,19.21
2021-08-20 14:50:00-04:00,19.21,19.21,19.09,19.09
2021-08-20 14:55:00-04:00,19.1,19.1,19.03,19.05
2021-08-20 15:00:00-04:00,19.02,19.04,18.86,18.89
2021-08-20 15:05:00-04:00,18.9,18.96,18.85,18.85
2021-08-20 15:10:00-04:00,18.85,18.85,18.64,18.64
2021-08-20 15:15:00-04:00,18.65,18.66,18.61,18.65
2021-08-20 15:20:00-04:00,18.67,18.67,18.47,18.48
2021-08-20 15:25:00-04:00,18.49,18.51,18.41,18.41
2021-08-20 15:30:00-04:00,18.42,18.47,18.35,18.35
2021-08-20 15:35:00-04:00,18.33,18.38,18.31,18.36
2021-08-20 15:40:00-04:00,18.35,18.41,18.31,18.31
2021-08-20 15:45:00-04:00,18.29,18.32,18.2,18.3
2021-08-20 15:50:00-04:00,18.29,18.32,18.22,18.32
2021-08-20 15:55:00-04:00,18.32,18.37,18.18,18.37
